x,y
1,1.508603306
1,1.708447964
1,1.762083176
1,1.835657941
1,1.979172239
1,3.135211432
1,3.668667156
1,3.981515522
2,1.348258323
2,1.557508487
2,1.708447964
2,1.708742554
2,1.762083176
2,1.823479386
2,1.835657941
2,2.154376171
2,2.277573006
2,3.135211432
2,3.668667156
2,4.729079139
2,4.781109423
2,5.925168543
3,1.348258323
3,1.369008424
3,1.557508487
3,1.660139071
3,1.708447964
3,1.761929753
3,1.789746069
3,1.901800059
3,2.255679844
3,2.30991496
3,3.135211432
3,3.668667156
3,4.122252517
3,4.729079139
3,4.781109423
3,5.925168543
4,1.348258323
4,1.627029175
4,1.652668901
4,1.660139071
4,1.708447964
4,1.761929753
4,1.789746069
4,1.830609908
4,1.901800059
4,1.903199252
4,2.255679844
4,2.31277155
4,3.135211432
4,3.668667156
4,4.122252517
4,4.729079139
4,4.781109423
4,5.925168543
5,1.348258323
5,1.403297561
5,1.627029175
5,1.652668901
5,1.660139071
5,1.705891681
5,1.708447964
5,1.726706463
5,1.763969517
5,1.776858049
5,1.789746069
5,1.830609908
5,1.843183094
5,1.901800059
5,2.028709731
5,2.255679844
5,2.31277155
5,3.135211432
5,3.668667156
5,4.122252517
5,4.729079139
5,4.781109423
5,5.925168543
6,1.348258323
6,1.591303163
6,1.627029175
6,1.652668901
6,1.660139071
6,1.705891681
6,1.708447964
6,1.726706463
6,1.804073298
6,1.830609908
6,1.843183094
6,1.901800059
6,1.927295358
6,2.028709731
6,2.278202888
6,2.31277155
6,3.135211432
6,3.668667156
6,4.122252517
6,4.729079139
6,4.781109423
6,5.925168543
7,1.348258323
7,1.591303163
7,1.627029175
7,1.652668901
7,1.660139071
7,1.705891681
7,1.708447964
7,1.726706463
7,1.804073298
7,1.830609908
7,1.843183094
7,1.852276923
7,1.901800059
7,1.927295358
7,1.985370027
7,2.028709731
7,2.278202888
7,2.31277155
7,3.135211432
7,3.668667156
7,4.311617008
7,4.729079139
7,4.781109423
7,5.925168543
8,1.348258323
8,1.591303163
8,1.627029175
8,1.652668901
8,1.730831816
8,1.804073298
8,1.830609908
8,1.843183094
8,1.852276923
8,1.901800059
8,1.927295358
8,1.985370027
8,2.028709731
8,2.278202888
8,2.31277155
8,3.135211432
8,3.668667156
8,4.311617008
8,4.729079139
8,4.781109423
8,5.925168543
9,1.348258323
9,1.591303163
9,1.627029175
9,1.652668901
9,1.730831816
9,1.804073298
9,1.830609908
9,1.843183094
9,1.852276923
9,1.901800059
9,1.927295358
9,1.985370027
9,2.028709731
9,2.278202888
9,2.31277155
9,2.319875093
9,3.135211432
9,3.668667156
9,4.311617008
9,4.729079139
9,4.781109423
9,5.925168543
10,1.348258323
10,1.393378108
10,1.401741051
10,1.591303163
10,1.627029175
10,1.652668901
10,1.730831816
10,1.744482621
10,1.804073298
10,1.830609908
10,1.843183094
10,1.942414861
10,1.985370027
10,2.028709731
10,2.278202888
10,2.31277155
10,2.319875093
10,3.135211432
10,3.668667156
10,4.311617008
10,4.729079139
10,4.781109423
10,5.925168543
11,1.445807675
11,1.465970014
11,1.591303163
11,1.627029175
11,1.652668901
11,1.730831816
11,1.750828876
11,1.804073298
11,1.830609908
11,1.843183094
11,1.942414861
11,1.985370027
11,2.028709731
11,2.278202888
11,2.31277155
11,2.319875093
11,3.135211432
11,3.668667156
11,4.311617008
11,4.729079139
11,6.359153423
12,1.445807675
12,1.495894596
12,1.500064162
12,1.591303163
12,1.627029175
12,1.652668901
12,1.730831816
12,1.750828876
12,1.804073298
12,1.950316446
12,2.035327771
12,2.055775837
12,2.120378395
12,2.278202888
12,2.31277155
12,2.319875093
12,3.135211432
12,3.668667156
12,4.311617008
12,4.729079139
12,6.359153423
13,1.445807675
13,1.51948191
13,1.591303163
13,1.627029175
13,1.652668901
13,1.730831816
13,1.750828876
13,1.804073298
13,1.950316446
13,2.035327771
13,2.055775837
13,2.058781658
13,2.120378395
13,2.278202888
13,3.914528391
13,4.311617008
13,4.729079139
13,6.359153423
13,6.837696729
14,1.445807675
14,1.51948191
14,1.591303163
14,1.627029175
14,1.652668901
14,1.683903803
14,1.730831816
14,1.750828876
14,1.804073298
14,1.950316446
14,2.035327771
14,2.055775837
14,2.228385069
14,2.278202888
14,2.427345549
14,3.914528391
14,4.311617008
14,4.729079139
14,6.359153423
14,6.837696729
15,1.445807675
15,1.51948191
15,1.56152943
15,1.591303163
15,1.627029175
15,1.652668901
15,1.683903803
15,1.730831816
15,1.750828876
15,1.75137737
15,1.804073298
15,1.950316446
15,2.035327771
15,2.055775837
15,2.215995533
15,2.228385069
15,2.239177487
15,2.278202888
15,2.427345549
15,3.914528391
15,4.311617008
15,4.729079139
15,6.359153423
15,6.837696729
16,1.445807675
16,1.51948191
16,1.56152943
16,1.591303163
16,1.627029175
16,1.652668901
16,1.683903803
16,1.730831816
16,1.750828876
16,1.75137737
16,1.799454808
16,1.804073298
16,1.950316446
16,2.035327771
16,2.055775837
16,2.215995533
16,2.228385069
16,2.239177487
16,2.278202888
16,2.427345549
16,3.914528391
16,4.311617008
16,4.729079139
16,6.359153423
16,6.837696729
17,1.445807675
17,1.51948191
17,1.56152943
17,1.578470074
17,1.591303163
17,1.627029175
17,1.652668901
17,1.683903803
17,1.730831816
17,1.760957495
17,1.799454808
17,1.804073298
17,1.950316446
17,1.953043268
17,2.035327771
17,2.055775837
17,2.215995533
17,2.228385069
17,2.239177487
17,2.278202888
17,2.34593628
17,2.427345549
17,3.914528391
17,4.311617008
17,4.729079139
17,6.359153423
17,6.837696729
18,1.445807675
18,1.51948191
18,1.626906615
18,1.644739893
18,1.652668901
18,1.683903803
18,1.730831816
18,1.760957495
18,1.799454808
18,1.804073298
18,1.950316446
18,1.953043268
18,2.001516036
18,2.078185272
18,2.236751789
18,2.239177487
18,2.278202888
18,2.34593628
18,2.427345549
18,3.914528391
18,4.311617008
18,4.729079139
18,6.359153423
18,6.837696729
19,1.445807675
19,1.44723878
19,1.51948191
19,1.626906615
19,1.644739893
19,1.652668901
19,1.683903803
19,1.730831816
19,1.760957495
19,1.799454808
19,1.804073298
19,1.950316446
19,1.953043268
19,2.001516036
19,2.078185272
19,2.236751789
19,2.239177487
19,2.278202888
19,2.34593628
19,2.420328288
19,2.427345549
19,3.914528391
19,4.311617008
19,4.729079139
19,7.211805758
20,1.372830121
20,1.445807675
20,1.44723878
20,1.51948191
20,1.626906615
20,1.644739893
20,1.652668901
20,1.683903803
20,1.730831816
20,1.760957495
20,1.799454808
20,1.804073298
20,1.950316446
20,1.971128991
20,2.010084571
20,2.078185272
20,2.236751789
20,2.239177487
20,2.259139331
20,2.278202888
20,2.34593628
20,2.420328288
20,2.427345549
20,3.914528391
20,4.311617008
20,4.729079139
20,7.211805758
21,1.372830121
21,1.445807675
21,1.44723878
21,1.51948191
21,1.626906615
21,1.644739893
21,1.652668901
21,1.683903803
21,1.730831816
21,1.760957495
21,1.799454808
21,1.804073298
21,1.892370206
21,1.950316446
21,1.971128991
21,2.010084571
21,2.086880994
21,2.236751789
21,2.239177487
21,2.259139331
21,2.278202888
21,2.34593628
21,2.420328288
21,2.427345549
21,3.914528391
21,4.683998075
21,4.729079139
21,7.211805758
22,1.372830121
22,1.445807675
22,1.44723878
22,1.51948191
22,1.626906615
22,1.644739893
22,1.652668901
22,1.683903803
22,1.730831816
22,1.755189612
22,1.760957495
22,1.799454808
22,1.804073298
22,1.892370206
22,1.950316446
22,1.971128991
22,2.010084571
22,2.086880994
22,2.236751789
22,2.239177487
22,2.298678135
22,2.34593628
22,2.420328288
22,2.427345549
22,3.914528391
22,4.683998075
22,4.729079139
22,7.211805758
23,1.372830121
23,1.445807675
23,1.44723878
23,1.51948191
23,1.626906615
23,1.644739893
23,1.652668901
23,1.683903803
23,1.730831816
23,1.755189612
23,1.760957495
23,1.799454808
23,1.804073298
23,1.82098445
23,1.892370206
23,1.950316446
23,1.971128991
23,2.010084571
23,2.086880994
23,2.236751789
23,2.239177487
23,2.298678135
23,2.404149519
23,2.420328288
23,2.427345549
23,3.914528391
23,4.683998075
23,4.729079139
23,7.211805758
24,1.372830121
24,1.445807675
24,1.44723878
24,1.51948191
24,1.626906615
24,1.644739893
23,1.652668901
24,1.683903803
24,1.730831816
24,1.755189612
24,1.781015413
24,1.799454808
24,1.804073298
24,1.82098445
24,1.892370206
24,1.950316446
24,1.971128991
24,2.010084571
24,2.086880994
24,2.236751789
24,2.239177487
24,2.298678135
24,2.404149519
24,2.420328288
24,2.427345549
24,3.914528391
24,4.683998075
24,4.729079139
24,7.211805758
25,1.372830121
25,1.445807675
25,1.44723878
25,1.51948191
25,1.626906615
25,1.644739893
25,1.652668901
25,1.683903803
25,1.730831816
25,1.755189612
25,1.781015413
25,1.799454808
25,1.804073298
25,1.82098445
25,1.892370206
25,1.950316446
25,1.971128991
25,2.010084571
25,2.086880994
25,2.236751789
25,2.239177487
25,2.298678135
25,2.404149519
25,2.420328288
25,2.427345549
25,3.914528391
25,4.683998075
25,4.729079139
25,7.211805758